,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan
415,17898,F,2012,New York,Newark,19MF
416,157809,F,2012,Columbus,Topeka,19MF
417,84449,F,2012,Providence,Fargo,19MF
418,118082,F,2012,New York,Detroit,14MF
419,153384,F,2012,New York,Topeka,19MF
420,69276,M,2012,New York,Scranton,19MF
421,102524,M,2012,New York,Scranton,19MF
422,169442,M,2012,New York,Charleston,19MF
423,33170,F,2012,New York,Charleston,19MF
424,38995,F,2012,Baltimore,Nashville,19MF
425,132390,M,2012,Baltimore,Charleston,10MF
426,57317,F,2012,Dallas,Detroit,14MF
427,167311,M,2012,Baltimore,Scranton,14MF
428,127103,M,2012,New York,Scranton,19MF
429,195382,M,2012,New York,Nashville,19MF
430,178136,F,2012,New York,Nashville,19MF
431,96430,F,2012,Providence,Scranton,14MF
432,157975,F,2012,New York,Indianapolis,14MF
433,116458,F,2012,Tulsa,Fargo,
434,92949,M,2012,Atlanta,Charleston,19MF
435,108655,M,2012,Nashville,Detroit,19MF
436,146866,F,2012,New York,Detroit,19MF
437,3829,M,2012,New York,Indianapolis,19MF
438,20671,F,2012,New York,Scranton,14MF
439,171903,M,2012,Providence,Scranton,19MF
440,192579,F,2012,New York,Charleston,14MF
441,95097,M,2012,New York,Topeka,19MF
442,46137,M,2012,New York,Scranton,14MF
443,204548,M,2012,Scranton,Scranton,19MF
444,193972,M,2012,Baltimore,Fargo,14MF
445,135844,M,2012,Providence,Topeka,19MF
446,199921,F,2012,Atlanta,Newark,19MF
447,61240,M,2012,New York,Topeka,19MF
448,174327,F,2012,New York,Indianapolis,19MF
449,168761,F,2012,New York,Newark,19MF
450,203666,F,2012,Eugene,Nashville,19MF
451,198152,M,2012,Baltimore,Fargo,19MF
452,36325,F,2012,New York,Fargo,19MF
453,206976,M,2012,Providence,Providence,14MF
454,113298,M,2012,New York,Scranton,19MF
455,163277,F,2012,New York,Charleston,14MF
456,162364,M,2012,Columbus,Indianapolis,14MF
457,141556,F,2012,New York,Detroit,19MF
458,172685,M,2012,Providence,Newark,14MF
459,151542,M,2012,Providence,Topeka,14MF
460,17294,F,2012,New York,Scranton,19MF
461,20850,M,2012,New York,Topeka,14MF
462,23851,M,2012,New York,Topeka,19MF
463,96734,F,2012,Newark,Detroit,19MF
464,12740,M,2012,New York,Topeka,14MF
465,179408,F,2012,Eugene,Nashville,14MF
466,132504,F,2012,New York,Charleston,19MF
467,150240,F,2012,Columbus,Detroit,19MF
468,33672,M,2012,Providence,Topeka,14MF
469,30999,M,2012,New York,Charleston,19MF
470,539,F,2012,Eugene,Detroit,19MF
471,134883,M,2012,Baltimore,Fargo,19MF
472,206237,M,2012,New York,Scranton,19MF
473,1064,F,2012,Baltimore,Detroit,14MF
474,18166,F,2012,Baltimore,Fargo,14MF
475,52431,M,2012,New York,Nashville,19MF
476,195989,M,2012,New York,Newark,19MF
477,145308,F,2012,New York,Fargo,19MF
478,121000,M,2012,Providence,Indianapolis,19MF
479,3617,M,2012,Tulsa,Topeka,14MF
480,31014,F,2012,New York,Nashville,19MF
481,43535,M,2012,New York,Newark,14MF
482,105767,F,2012,New York,Detroit,19MF
483,195659,F,2012,Tulsa,Scranton,
484,151287,F,2012,New York,Indianapolis,19MF
485,59759,F,2012,Providence,Charleston,10MF
486,151940,M,2012,Columbus,Indianapolis,14MF
487,161410,M,2012,New York,Nashville,14MF
488,73642,F,2012,Baltimore,Fargo,19MF
489,49133,F,2012,New York,Indianapolis,10MF
490,94846,F,2012,New York,Charleston,19MF
491,16583,F,2012,New York,Indianapolis,14MF
492,132670,F,2012,New York,Newark,19MF
493,107098,M,2012,New York,Charleston,19MF
494,45693,M,2012,New York,Detroit,19MF
495,50509,M,2012,New York,Scranton,14MF
496,90323,F,2012,Baltimore,Fargo,19MF
497,152881,M,2012,New York,Indianapolis,14MF
498,22029,M,2012,New York,Charleston,19MF
499,150603,F,2012,New York,Newark,19MF
500,2803,M,2012,Columbus,Newark,14MF
501,8659,M,2012,New York,Scranton,19MF
502,183740,F,2012,Baltimore,Indianapolis,14MF
503,127986,M,2012,New York,Fargo,19MF
504,139822,M,2012,New York,Indianapolis,19MF
505,100584,M,2013,Providence,Nashville,19MF
506,43185,M,2013,Providence,Indianapolis,14MF
507,18065,M,2013,New Orleans,Charleston,19MF
508,119949,M,2013,New Orleans,Charleston,19MF
509,655,F,2013,Columbus,Detroit,19MF
510,89249,M,2013,Eugene,Newark,14MF
511,124274,M,2013,Santa Fe,Fargo,14MF
512,128359,F,2013,Tulsa,Nashville,19MF
513,42782,M,2013,Scranton,Indianapolis,19MF
514,139933,M,2013,Providence,Indianapolis,19MF
515,147118,F,2013,Seattle,Fargo,19MF
516,64572,F,2013,Providence,Fargo,19MF
517,116802,M,2013,Providence,Newark,19MF
518,27591,F,2013,Eugene,Scranton,19MF
519,148672,M,2013,Providence,Nashville,19MF
520,37768,F,2013,Birmingham,Detroit,19MF
521,85750,M,2013,St. Paul,Topeka,14MF
522,199446,F,2013,Detroit,Newark,14MF
523,170114,F,2013,Scranton,Newark,19MF
524,4360,F,2013,Los Angeles,Topeka,14MF
525,60031,M,2013,Boise,Newark,19MF
526,194468,F,2013,Providence,Indianapolis,14MF
527,175136,M,2013,Providence,Indianapolis,19MF
528,187601,M,2013,Eugene,Fargo,14MF
529,36368,F,2013,Eugene,Scranton,19MF
530,37160,F,2013,Providence,Indianapolis,19MF
531,180645,M,2013,Baltimore,Fargo,19MF
532,153977,M,2013,Providence,Charleston,19MF
533,4913,M,2013,Providence,Indianapolis,19MF
534,118836,F,2013,Providence,Charleston,19MF
535,177394,F,2013,Scranton,Scranton,14MF
536,20088,F,2013,New York,Fargo,19MF
537,120708,M,2013,Providence,Indianapolis,14MF
538,157129,F,2013,Baltimore,Fargo,19MF
539,82578,F,2013,Providence,Scranton,19MF
540,144937,M,2013,Detroit,Nashville,19MF
541,166649,M,2013,Providence,Nashville,19MF
542,204161,M,2013,Detroit,Nashville,19MF
543,12132,F,2013,Baltimore,Charleston,19MF
544,100586,F,2013,Providence,Newark,14MF
545,28573,M,2013,Eugene,Charleston,19MF
546,35583,M,2013,New Orleans,Fargo,14MF
547,127641,M,2013,Baltimore,Detroit,14MF
548,117693,F,2013,Santa Fe,Fargo,14MF
549,143255,M,2013,Scranton,Indianapolis,14MF
550,177475,M,2013,St. Paul,Topeka,14MF
551,101003,M,2013,Providence,Scranton,19MF
552,179917,F,2013,New York,Charleston,19MF
553,209540,M,2013,Providence,Scranton,19MF
554,195663,F,2013,Tulsa,Fargo,10MF
555,126371,M,2013,Eugene,Detroit,14MF
556,75319,M,2013,Scranton,Scranton,19MF
557,105506,F,2013,Detroit,Nashville,19MF
558,171406,F,2013,Los Angeles,Indianapolis,19MF
559,174464,F,2013,Providence,Detroit,14MF
560,202696,M,2013,Eugene,Fargo,19MF
561,6492,F,2013,Providence,Fargo,19MF
562,105018,M,2013,Providence,Indianapolis,14MF
563,11822,F,2013,Providence,Nashville,10MF
564,155864,M,2013,Scranton,Fargo,19MF
565,114908,F,2013,Miami,Nashville,10MF
566,99798,F,2013,Eugene,Nashville,14MF
567,57791,M,2013,St. Paul,Scranton,19MF
568,73119,F,2013,Providence,Newark,19MF
569,157472,F,2013,Los Angeles,Indianapolis,14MF
570,46066,F,2013,Dallas,Charleston,19MF
571,93970,M,2013,Boise,Fargo,19MF
572,108601,F,2013,Providence,Fargo,19MF
573,22360,F,2013,Providence,Scranton,19MF
574,175819,M,2013,Columbus,Topeka,19MF
575,54436,M,2013,Charleston,Detroit,19MF
576,100785,M,2013,Columbus,Topeka,19MF
577,159805,M,2013,Columbus,Topeka,19MF
578,20757,M,2013,Dallas,Charleston,14MF
579,185266,M,2013,Seattle,Detroit,19MF
580,11463,M,2013,New York,Topeka,19MF
581,49159,F,2013,Eugene,Scranton,14MF
582,23081,F,2013,Providence,Indianapolis,19MF
583,67740,M,2013,Dallas,Detroit,19MF
584,104679,F,2013,Baltimore,Detroit,14MF
585,116789,M,2013,Providence,Nashville,19MF
586,37192,F,2013,Eugene,Fargo,19MF
